0.000000	3922661.515597	510023.621439	0.000000	-601.750000
53.842958	3922611.689317	510003.228053	0.000000	0.000000
191.905458	3922481.975550	509956.482070	400.000000	400.000000
256.905458	3922417.771988	509946.806654	400.000000	400.000000
320.905458	3922353.797378	509945.847682	0.000000	0.000000
388.505458	3922286.289914	509943.593227	-250.000000	-250.000000
474.561983	3922204.372631	509918.644358	-250.000000	-250.000000
536.628650	3922158.624589	509878.320979	-60.000000	-60.000000
682.703340	3922235.823205	509796.378521	-60.000000	-60.000000
847.939105	3922271.694659	509943.599713	-6988.500000	0.000000
